UID,Taxon,Abundance,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,funct_2021,flag
Foggy Cove LOW 2016 4,Limpet,1,Limpet,Limpet,Limpet,Limpet,Animal,motile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 4,Lithophyllum sp. 1,1,Lithophyllum sp. 1,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 4,Lithothamnion phymatodeum,2,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Algae,sessile,NA,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 4,Mazzaella splendens,6,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Foggy Cove LOW 2016 4,Neogastroclonium subarticulatum,4,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 4,Neorhodomela larix,30,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 4,Nereocystis luetkeana,2,Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Foggy Cove LOW 2016 4,Odonthalia floccosa,2,Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Algae,sessile,These are distinct,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 4,Osmundea spectabilis,1,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Algae,sessile,NA,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 4,Palmaria hecatensis,0.5,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Algae,sessile,NA,red turf,thick leathery,red turf,red turf,turf,turf,blade,blade,NA
Foggy Cove LOW 2016 4,Pholidae,1,Pholidae,Pholidae,Pholidae,Pholidae,Animal,motile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 4,Phyllospadix scouleri,6,Phyllospadix scouleri,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,canopy,NA
Foggy Cove LOW 2016 4,Plocamium violaceum,3,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 4,Polyneura latissima,3,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,could also be blade
Foggy Cove LOW 2016 4,Prionitis sternbergii,11,Prionitis sternbergii,Prionitis,Prionitis,Prionitis,Algae,sessile,specific epithet changed in 2019,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 4,Pterocladiella caloglossoides,0.5,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 4,Ptilota filicina,13,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 4,Spirorbis,0.5,Spirorbis,Spirorbis,Tube worms,Tube worms,Animal,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 4,Symphyocladiella dendroidea,2,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Algae,sessile,name changed in 2019,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 4,Ulva lactuca,2,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Foggy Cove LOW 2016 5,bare rock,9,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 5,Bossiella frondescens,1,Bossiella frondescens,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 5,Bossiella frondifera,1,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 5,Ceramium pacificum,1,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,NA,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 5,Chamberlainium tumidum,1,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 5,Corallina vancouveriensis,3,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 5,coralline crust,2,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 5,Cryptosiphonia woodii,7,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 5,Dermasterias,2,Dermasterias,Dermasterias,Dermasterias,Dermasterias,Animal,motile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 5,Farlowia mollis,0.5,Farlowia mollis,Farlowia mollis,Farlowia mollis,Farlowia mollis,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 5,Limpet,1,Limpet,Limpet,Limpet,Limpet,Animal,motile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 5,Lithothamnion phymatodeum,1,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Algae,sessile,NA,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 5,Microcladia borealis,3,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 5,Mopalia sp.,2,Mopalia sp.,Mopalia sp.,Mopalia sp.,Mopalia sp.,Animal,motile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 5,Neogastroclonium subarticulatum,9,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 5,Neorhodomela larix,22,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 5,Petrocelis,0.5,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 5,Phyllospadix scouleri,7,Phyllospadix scouleri,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,canopy,NA
Foggy Cove LOW 2016 5,Polyneura latissima,12,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,could also be blade
Foggy Cove LOW 2016 5,Prionitis sternbergii,0.5,Prionitis sternbergii,Prionitis,Prionitis,Prionitis,Algae,sessile,specific epithet changed in 2019,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 5,Ptilota filicina,18,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 5,Ralfsioid,5,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 5,Tokidadendron bullatum,0.5,Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,bare rock,9,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 6,Bossiella frondescens,12,Bossiella frondescens,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 6,Bossiella frondifera,3,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 6,Ceramium pacificum,1,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,NA,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 6,Chamberlainium tumidum,1,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 6,Chiharaea silvae,0.5,Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 6,Corallina sp.1 frondescens,3,Corallina sp.1 frondescens,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 6,Corallina vancouveriensis,5,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 6,Egregia menziesii,45,Egregia menziesii,Egregia menziesii,Egregia menziesii,Egregia menziesii,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Foggy Cove LOW 2016 6,Fucus distichus,13,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Foggy Cove LOW 2016 6,Hildenbrandia sp.,1.5,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 6,Hymenena spp.,1,Hymenena spp.,Hymenena spp.,Hymenena spp.,Hymenena spp.,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,Lithophyllum impressum,1,Lithophyllum impressum,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 6,Lithothamnion phymatodeum,2,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Algae,sessile,NA,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 6,Mastocarpus alaskensis,1,Mastocarpus alaskensis,Mastocarpus alaskensis,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,Mazzaella splendens,17,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Foggy Cove LOW 2016 6,Microcladia borealis,1,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 6,Neogastroclonium subarticulatum,10,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,Neopolyporolithon reclinatum,1,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Algae,sessile,NA,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 6,Neorhodomela larix,3,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,Osmundea spectabilis,2,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Algae,sessile,NA,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,Petrocelis,1,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 6,Plocamium violaceum,4,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 6,Polyneura latissima,10,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,could also be blade
Foggy Cove LOW 2016 6,Polysiphonia pacifica,4,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 6,Prionitis sternbergii,6,Prionitis sternbergii,Prionitis,Prionitis,Prionitis,Algae,sessile,specific epithet changed in 2019,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 6,Ptilota filicina,10,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 6,Schizymenia pacifica,2,Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Foggy Cove LOW 2016 7,Alaria marginata,30,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Foggy Cove LOW 2016 7,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 7,Bossiella frondescens,0.5,Bossiella frondescens,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 7,Bossiella frondifera,1,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 7,Ceramium pacificum,1,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,NA,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 7,Chamberlainium tumidum,5,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 7,Corallina vancouveriensis,9,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 7,Cryptosiphonia woodii,7,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Egregia menziesii,10,Egregia menziesii,Egregia menziesii,Egregia menziesii,Egregia menziesii,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Foggy Cove LOW 2016 7,Fucus distichus,3,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Foggy Cove LOW 2016 7,Halosaccion glandiforme,0.5,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Hildenbrandia sp.,2,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 7,Hymenena spp.,49,Hymenena spp.,Hymenena spp.,Hymenena spp.,Hymenena spp.,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Lithophyllum sp. 8,0.5,Lithophyllum sp. 8,Lithophyllum,Lithophyllum,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 7,Lomentaria hakodatensis,0.5,Lomentaria hakodatensis,Lomentaria hakodatensis,Lomentaria hakodatensis,Lomentaria hakodatensis,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Mastocarpus agardhii,2,Mastocarpus agardhii,Mastocarpus agardhii,Mastocarpus,Mastocarpus,Algae,sessile,"M. agardhii is distinct from others, but we will have to do something with these!!",red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Mastocarpus intermedius,0.5,Mastocarpus intermedius,Mastocarpus intermedius,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Mazzaella oregona,1,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Foggy Cove LOW 2016 7,Microcladia borealis,4,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 7,Neogastroclonium subarticulatum,0.5,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Neopolyporolithon reclinatum,0.5,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Algae,sessile,NA,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 7,Neorhodomela larix,0.5,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 7,Petrocelis,1,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 7,Plocamium violaceum,11,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 7,Ptilota filicina,2,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 8,Acrosiphonia coalita,0.5,Acrosiphonia coalita,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 8,Alaria marginata,7,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Foggy Cove LOW 2016 8,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foggy Cove LOW 2016 8,Bossiella frondifera,1,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 8,Callithamnion pikeanum,1,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 8,Ceramium pacificum,0.5,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,NA,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Foggy Cove LOW 2016 8,Chamberlainium tumidum,3,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Foggy Cove LOW 2016 8,Codium fragile,1,Codium fragile,Codium fragile,Codium fragile,Codium fragile,Algae,sessile,NA,other,finely branching,Codium,Codium,Codium,Codium,turf,turf,NA
Foggy Cove LOW 2016 8,Corallina vancouveriensis,4,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Foggy Cove LOW 2016 8,Cryptosiphonia woodii,4,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 8,Egregia menziesii,42,Egregia menziesii,Egregia menziesii,Egregia menziesii,Egregia menziesii,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Foggy Cove LOW 2016 8,Fucus distichus,15,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Foggy Cove LOW 2016 8,Halosaccion glandiforme,0.5,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 8,Hildenbrandia sp.,5.5,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Foggy Cove LOW 2016 8,Hymenena spp.,21,Hymenena spp.,Hymenena spp.,Hymenena spp.,Hymenena spp.,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 8,Mastocarpus agardhii,1,Mastocarpus agardhii,Mastocarpus agardhii,Mastocarpus,Mastocarpus,Algae,sessile,"M. agardhii is distinct from others, but we will have to do something with these!!",red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 8,Mastocarpus latissimus,0.5,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Foggy Cove LOW 2016 8,Mazzaella oregona,1,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Foggy Cove LOW 2016 8,Mazzaella splendens,1,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Foggy Cove LOW 2016 8,Neogastroclonium subarticulatum,4,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
