"UID","Taxon","Abundance"
"Fifth Beach LOW 2016 9","Plocamium violaceum","27"
"Fifth Beach LOW 2016 9","Pyropia perforata","0.5"
"Fifth Beach LOW 2016 9","Spongites tumidum","5"
"Fifth Beach LOW 2016 9","Barnacle sp. (%)","0.5"
"Fifth Beach LOW 2016 9","Anemone (%)","6"
"Fifth Beach LOW 2016 9","Limpets (#)","25"
"Fifth Beach LOW 2016 9","Nucella","1"
"Fifth Beach LOW 2016 9","Pisaster","1"
"Fifth Beach LOW 2016 9","Polychaete","1"
"Fifth Beach LOW 2016 9","Leptasterias","1"
"Fifth Beach LOW 2016 10","BARE ROCK (%)","14"
"Fifth Beach LOW 2016 10","Alaria marginata","3"
"Fifth Beach LOW 2016 10","Antithamnion defectum","trace"
"Fifth Beach LOW 2016 10","Bossiella frondescens","0.5"
"Fifth Beach LOW 2016 10","Bossiella frondifera","2"
"Fifth Beach LOW 2016 10","Callithamnion pikeanum","3"
"Fifth Beach LOW 2016 10","Corallina vancouveriensis","18"
"Fifth Beach LOW 2016 10","Diatoms, colonial","trace"
"Fifth Beach LOW 2016 10","Hildenbrandia (thick)","5"
"Fifth Beach LOW 2016 10","Hymenena/Cryptopleura","3"
"Fifth Beach LOW 2016 10","Lithophyllum sp.1","1"
"Fifth Beach LOW 2016 10","Mastocarpus agardhii","2.5"
"Fifth Beach LOW 2016 10","Mazzaella splendens","5"
"Fifth Beach LOW 2016 10","Petrocelis","0.5"
"Fifth Beach LOW 2016 10","Plocamium violaceum","10"
"Fifth Beach LOW 2016 10","Polysiphonia sp.","2"
"Fifth Beach LOW 2016 10","Pseudolithophyllum whidbeyense","3"
"Fifth Beach LOW 2016 10","Pterosiphonia bipinnata","1"
"Fifth Beach LOW 2016 10","Pyropia perforata","21"
"Fifth Beach LOW 2016 10","Schizymenia pacifica","1"
"Fifth Beach MID 2016 1","BARE ROCK (%)","21"
"Fifth Beach MID 2016 1","CORALLINE (%)","15"
"Fifth Beach MID 2016 1","Ceramium pacificum","0.5"
"Fifth Beach MID 2016 1","Cladophora columbiana","3"
"Fifth Beach MID 2016 1","Corallina vancouveriensis","12"
"Fifth Beach MID 2016 1","Cryptosiphonia woodii","2"
"Fifth Beach MID 2016 1","Dilsea californica","1"
"Fifth Beach MID 2016 1","Endocladia muricata","8"
"Fifth Beach MID 2016 1","Farlowia mollis","0.5"
"Fifth Beach MID 2016 1","Fucus distichus","3"
"Fifth Beach MID 2016 1","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2016 1","Hildenbrandia (thin)","3"
"Fifth Beach MID 2016 1","Leathesia marina","0.5"
"Fifth Beach MID 2016 1","Mastocarpus alaskensis","1"
"Fifth Beach MID 2016 1","Neorhodomela larix","3"
"Fifth Beach MID 2016 1","Petrocelis","0.5"
"Fifth Beach MID 2016 1","Plocamium violaceum","2"
"Fifth Beach MID 2016 1","Pterosiphonia bipinnata","3"
"Fifth Beach MID 2016 1","Pyropia abbottiae","1"
"Fifth Beach MID 2016 1","Spongites tumidum","3"
"Fifth Beach MID 2016 1","Ulva lactuca","0.5"
"Fifth Beach MID 2016 1","Barnacle sp. (%)","8"
"Fifth Beach MID 2016 1","Anemone (%)","26"
"Fifth Beach MID 2016 1","Limpets (#)","100"
"Fifth Beach MID 2016 2","BARE ROCK (%)","27"
"Fifth Beach MID 2016 2","CORALLINE (%)","20"
"Fifth Beach MID 2016 2","Bossiella frondescens","3"
"Fifth Beach MID 2016 2","Bossiella frondifera","1"
"Fifth Beach MID 2016 2","Bossiella manzae","0.5"
"Fifth Beach MID 2016 2","Bossiella pseudodichotoma","1"
"Fifth Beach MID 2016 2","Cladophora columbiana","2"
"Fifth Beach MID 2016 2","Corallina vancouveriensis","11"
"Fifth Beach MID 2016 2","Cryptosiphonia woodii","0.5"
"Fifth Beach MID 2016 2","Endocladia muricata","6"
"Fifth Beach MID 2016 2","Fucus distichus","0.5"
"Fifth Beach MID 2016 2","Hildenbrandia (thick)","4"
"Fifth Beach MID 2016 2","Hildenbrandia (thin)","4"
"Fifth Beach MID 2016 2","Leathesia marina","0.5"
"Fifth Beach MID 2016 2","Neopolyporolithon reclinatum","0.5"
"Fifth Beach MID 2016 2","Phyllospadix scouleri","27"
"Fifth Beach MID 2016 2","Plocamium violaceum","7"
"Fifth Beach MID 2016 2","Spongites tumidum","3"
"Fifth Beach MID 2016 2","Ulva lactuca","0.5"
"Fifth Beach MID 2016 2","Wildmania norrisii","0.5"
"Fifth Beach MID 2016 2","Barnacle sp. (%)","2"
"Fifth Beach MID 2016 2","Anemone (%)","6"
"Fifth Beach MID 2016 2","Limpets (#)","100"
"Fifth Beach MID 2016 2","Pagurus","3"
"Fifth Beach MID 2016 3","BARE ROCK (%)","4"
"Fifth Beach MID 2016 3","CORALLINE (%)","7"
"Fifth Beach MID 2016 3","Callithamnion pikeanum","1"
"Fifth Beach MID 2016 3","Ceramium pacificum","5.5"
"Fifth Beach MID 2016 3","Cladophora columbiana","0.5"
"Fifth Beach MID 2016 3","Corallina vancouveriensis","3"
"Fifth Beach MID 2016 3","Cryptosiphonia woodii","2"
"Fifth Beach MID 2016 3","Endocladia muricata","1.5"
"Fifth Beach MID 2016 3","Fucus distichus","1"
"Fifth Beach MID 2016 3","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2016 3","Hildenbrandia (thick)","4"
"Fifth Beach MID 2016 3","Leathesia marina","0.5"
"Fifth Beach MID 2016 3","Lomentaria hakodatensis","0.5"
"Fifth Beach MID 2016 3","Mazzaella oregona","0.5"
"Fifth Beach MID 2016 3","Microcladia borealis","1.5"
"Fifth Beach MID 2016 3","Neorhodomela larix","61"
"Fifth Beach MID 2016 3","Palmaria hecatensis","2"
"Fifth Beach MID 2016 3","Phyllospadix scouleri","11"
"Fifth Beach MID 2016 3","Plocamium violaceum","8"
"Fifth Beach MID 2016 3","Pterosiphonia bipinnata","1"
"Fifth Beach MID 2016 3","Pyropia abbottiae","0.5"
"Fifth Beach MID 2016 3","Pyropia perforata","0.5"
"Fifth Beach MID 2016 3","Schizymenia pacifica","0.5"
"Fifth Beach MID 2016 3","Spongites tumidum","4"
"Fifth Beach MID 2016 3","Ulva lactuca","0.5"
"Fifth Beach MID 2016 3","Wildmania norrisii","1"
"Fifth Beach MID 2016 3","Anemone (%)","6"
"Fifth Beach MID 2016 4","BARE ROCK (%)","37"
"Fifth Beach MID 2016 4","CORALLINE (%)","15.5"
"Fifth Beach MID 2016 4","Acrosiphonia coalita","0.5"
"Fifth Beach MID 2016 4","Analipus japonicus","0.5"
"Fifth Beach MID 2016 4","Bossiella frondescens","1"
"Fifth Beach MID 2016 4","Bossiella pseudodichotoma","0.5"
"Fifth Beach MID 2016 4","Callithamnion pikeanum","2"
"Fifth Beach MID 2016 4","Ceramium pacificum","2"
"Fifth Beach MID 2016 4","Cladophora columbiana","0.5"
"Fifth Beach MID 2016 4","Corallina vancouveriensis","7"
"Fifth Beach MID 2016 4","Endocladia muricata","4"
"Fifth Beach MID 2016 4","Farlowia mollis","0.5"
"Fifth Beach MID 2016 4","Fucus distichus","1"
"Fifth Beach MID 2016 4","Halosaccion glandiforme","1"
"Fifth Beach MID 2016 4","Hildenbrandia (thick)","14"
"Fifth Beach MID 2016 4","Hildenbrandia (thin)","2"
"Fifth Beach MID 2016 4","Leathesia marina","0.5"
"Fifth Beach MID 2016 4","Microcladia borealis","14"
"Fifth Beach MID 2016 4","Phyllospadix scouleri","0.5"
"Fifth Beach MID 2016 4","Plocamium violaceum","14"
"Fifth Beach MID 2016 4","Pterosiphonia bipinnata","4"
"Fifth Beach MID 2016 4","Pyropia perforata","0.5"
"Fifth Beach MID 2016 4","Spongites tumidum","7"
"Fifth Beach MID 2016 4","Ulva lactuca","0.5"
"Fifth Beach MID 2016 4","Anemone (%)","3"
"Fifth Beach MID 2016 5","BARE ROCK (%)","43"
"Fifth Beach MID 2016 5","CORALLINE (%)","15"
"Fifth Beach MID 2016 5","Bossiella frondescens","2"
"Fifth Beach MID 2016 5","Cladophora columbiana","0.5"
"Fifth Beach MID 2016 5","Corallina vancouveriensis","5"
"Fifth Beach MID 2016 5","Endocladia muricata","4"
"Fifth Beach MID 2016 5","Fucus distichus","2"
"Fifth Beach MID 2016 5","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2016 5","Hildenbrandia (thin)","15"
"Fifth Beach MID 2016 5","Petrocelis","3"
"Fifth Beach MID 2016 5","Plocamium violaceum","10"
"Fifth Beach MID 2016 5","Pyropia abbottiae","1"
"Fifth Beach MID 2016 5","Pyropia perforata","2"
"Fifth Beach MID 2016 5","Spongites tumidum","8"
"Fifth Beach MID 2016 5","Ulva lactuca","0.5"
"Fifth Beach MID 2016 5","Barnacle sp. (%)","2"
"Fifth Beach MID 2016 5","Anemone (%)","9"
"Fifth Beach MID 2016 5","Limpets (#)","100"
"Fifth Beach MID 2016 6","BARE ROCK (%)","14"
"Fifth Beach MID 2016 6","CORALLINE (%)","40"
"Fifth Beach MID 2016 6","Bossiella frondescens","2"
"Fifth Beach MID 2016 6","Cladophora columbiana","0.5"
"Fifth Beach MID 2016 6","Corallina vancouveriensis","23"
"Fifth Beach MID 2016 6","Endocladia muricata","1"
"Fifth Beach MID 2016 6","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2016 6","Hildenbrandia (thick)","0.5"
"Fifth Beach MID 2016 6","Hildenbrandia (thin)","19"
"Fifth Beach MID 2016 6","Leathesia marina","1"
"Fifth Beach MID 2016 6","Mazzaella parvula","0.5"
"Fifth Beach MID 2016 6","Microcladia borealis","1"
"Fifth Beach MID 2016 6","Petrocelis","0.5"
"Fifth Beach MID 2016 6","Plocamium violaceum","10"
"Fifth Beach MID 2016 6","Pyropia abbottiae","1"
"Fifth Beach MID 2016 6","Spongites tumidum","15"
"Fifth Beach MID 2016 6","Ulva lactuca","0.5"
"Fifth Beach MID 2016 6","Barnacle sp. (%)","1"
"Fifth Beach MID 2016 6","Anemone (%)","13"
"Fifth Beach MID 2016 6","Limpets (#)","10"
"Fifth Beach MID 2016 6","Katharina (#)","1"
"Fifth Beach MID 2016 6","Onchidella (#)","1"
"Fifth Beach MID 2016 7","BARE ROCK (%)","10"
"Fifth Beach MID 2016 7","CORALLINE (%)","31"
"Fifth Beach MID 2016 7","Acrosiphonia coalita","0.5"
"Fifth Beach MID 2016 7","Analipus japonicus","0.5"
"Fifth Beach MID 2016 7","Bossiella frondifera","7"
"Fifth Beach MID 2016 7","Bossiella pseudodichotoma","1"
"Fifth Beach MID 2016 7","Callithamnion pikeanum","1.5"
"Fifth Beach MID 2016 7","Ceramium pacificum","2"
"Fifth Beach MID 2016 7","Cladophora columbiana","0.5"
"Fifth Beach MID 2016 7","Corallina vancouveriensis","6"
"Fifth Beach MID 2016 7","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2016 7","Hildenbrandia (thick)","16"
"Fifth Beach MID 2016 7","Hildenbrandia (thin)","0.5"
"Fifth Beach MID 2016 7","Leathesia marina","0.5"
"Fifth Beach MID 2016 7","Mastocarpus agardhii","0.5"
"Fifth Beach MID 2016 7","Mazzaella oregona","0.5"
"Fifth Beach MID 2016 7","Palmaria hecatensis","1"
"Fifth Beach MID 2016 7","Petrocelis","1"
"Fifth Beach MID 2016 7","Plocamium violaceum","13"
"Fifth Beach MID 2016 7","Spongites tumidum","17"
"Fifth Beach MID 2016 7","Ulva lactuca","0.5"
"Fifth Beach MID 2016 7","Anemone (%)","4"
"Fifth Beach MID 2016 8","BARE ROCK (%)","13"
"Fifth Beach MID 2016 8","Alaria marginata","0.5"
"Fifth Beach MID 2016 8","Bossiella frondescens","2"
"Fifth Beach MID 2016 8","Bossiella frondifera","4"
"Fifth Beach MID 2016 8","Callithamnion pikeanum","7"
"Fifth Beach MID 2016 8","Ceramium pacificum","4"
"Fifth Beach MID 2016 8","Cladophora columbiana","0.5"
"Fifth Beach MID 2016 8","Corallina vancouveriensis","4.5"
"Fifth Beach MID 2016 8","Farlowia mollis","1"
"Fifth Beach MID 2016 8","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2016 8","Hildenbrandia (thick)","2"
"Fifth Beach MID 2016 8","Mazzaella parvula","0.5"
"Fifth Beach MID 2016 8","Microcladia borealis","4"
"Fifth Beach MID 2016 8","Phyllospadix scouleri","14"
"Fifth Beach MID 2016 8","Plocamium violaceum","7"
"Fifth Beach MID 2016 8","Polyneura latissima","0.5"
"Fifth Beach MID 2016 8","Polysiphonia hendryi var. hendryi","1"
"Fifth Beach MID 2016 8","Prionitis sternbergii","0.5"
"Fifth Beach MID 2016 8","Pterosiphonia bipinnata","2"
"Fifth Beach MID 2016 8","Pyropia abbottiae","0.5"
"Fifth Beach MID 2016 8","Spongites tumidum","1"
"Fifth Beach MID 2016 8","Ulva lactuca","0.5"
"Fifth Beach MID 2016 9","BARE ROCK (%)","65"
"Fifth Beach MID 2016 9","CORALLINE (%)","3"
"Fifth Beach MID 2016 9","Bossiella frondescens","0.5"
"Fifth Beach MID 2016 9","Corallina vancouveriensis","trace"
"Fifth Beach MID 2016 9","Hildenbrandia (thick)","10"
"Fifth Beach MID 2016 9","Plocamium violaceum","22"
"Fifth Beach MID 2016 9","Anemone (%)","2"
"Fifth Beach MID 2016 10","BARE ROCK (%)","43"
"Fifth Beach MID 2016 10","CORALLINE (%)","11"
"Fifth Beach MID 2016 10","Bossiella frondescens","2"
"Fifth Beach MID 2016 10","Corallina vancouveriensis","2"
"Fifth Beach MID 2016 10","Hildenbrandia (thick)","13"
"Fifth Beach MID 2016 10","Plocamium violaceum","26"
"Fifth Beach MID 2016 10","Ulva lactuca","0.5"
"Fifth Beach MID 2016 10","Anemone (%)","4"
"Fifth Beach MID 2016 10","Katharina (#)","1"
"Fifth Beach HIGH 2016 1","BARE ROCK (%)","10"
"Fifth Beach HIGH 2016 1","Cladophora columbiana","2"
"Fifth Beach HIGH 2016 1","Endocladia muricata","12"
"Fifth Beach HIGH 2016 1","Fucus distichus","2"
"Fifth Beach HIGH 2016 1","Halosaccion glandiforme","0.5"
"Fifth Beach HIGH 2016 1","Hildenbrandia (thick)","3"
"Fifth Beach HIGH 2016 1","Mastocarpus alaskensis","0.5"
"Fifth Beach HIGH 2016 1","Mazzaella oregona","2"
"Fifth Beach HIGH 2016 1","Pyropia fucicola","2"
"Fifth Beach HIGH 2016 1","Ulva lactuca","0.5"
"Fifth Beach HIGH 2016 1","Mytillus sp. (%)","15"
"Fifth Beach HIGH 2016 1","Barnacle sp. (%)","65"
"Fifth Beach HIGH 2016 1","Anemone (%)","4"
"Fifth Beach HIGH 2016 1","Limpets (#)","19"
"Fifth Beach HIGH 2016 1","Nucella","4"
"Fifth Beach HIGH 2016 2","BARE ROCK (%)","7"
"Fifth Beach HIGH 2016 2","Chaetomorpha cannabina","0.5"
"Fifth Beach HIGH 2016 2","Cladophora columbiana","0.5"
"Fifth Beach HIGH 2016 2","Endocladia muricata","12"
"Fifth Beach HIGH 2016 2","Fucus distichus","2"
"Fifth Beach HIGH 2016 2","Hildenbrandia (thick)","1"
"Fifth Beach HIGH 2016 2","Mastocarpus alaskensis","0.5"
"Fifth Beach HIGH 2016 2","Mastocarpus agardhii","0.5"
"Fifth Beach HIGH 2016 2","Petrocelis","10"
"Fifth Beach HIGH 2016 2","Pyropia fucicola","0.5"
"Fifth Beach HIGH 2016 2","Pyropia perforata","1"
"Fifth Beach HIGH 2016 2","Ulva lactuca","0.5"
"Fifth Beach HIGH 2016 2","Mytillus sp. (%)","34"
"Fifth Beach HIGH 2016 2","Barnacle sp. (%)","41"
"Fifth Beach HIGH 2016 2","Limpets (#)","16"
"Fifth Beach HIGH 2016 2","Nucella","3"
"Fifth Beach HIGH 2016 3","BARE ROCK (%)","10"
"Fifth Beach HIGH 2016 3","Acrosiphonia arcta","1"
"Fifth Beach HIGH 2016 3","Cladophora columbiana","0.5"
"Fifth Beach HIGH 2016 3","Endocladia muricata","4"
"Fifth Beach HIGH 2016 3","Fucus distichus","1"
"Fifth Beach HIGH 2016 3","Petrocelis","6"
"Fifth Beach HIGH 2016 3","Pterosiphonia bipinnata","3"
"Fifth Beach HIGH 2016 3","Ulva lactuca","0.5"
"Fifth Beach HIGH 2016 3","Mytillus sp. (%)","21"
"Fifth Beach HIGH 2016 3","Barnacle sp. (%)","31"
"Fifth Beach HIGH 2016 3","Anemone (%)","1.5"
"Fifth Beach HIGH 2016 4","BARE ROCK (%)","6"
"Fifth Beach HIGH 2016 4","Chaetomorpha cannabina","0.5"
"Fifth Beach HIGH 2016 4","Cladophora columbiana","5"
"Fifth Beach HIGH 2016 4","Endocladia muricata","10"
"Fifth Beach HIGH 2016 4","Fucus distichus","18"
"Fifth Beach HIGH 2016 4","Halosaccion glandiforme","1"
"Fifth Beach HIGH 2016 4","Hildenbrandia (thick)","5"
"Fifth Beach HIGH 2016 4","Mastocarpus alaskensis","2"
"Fifth Beach HIGH 2016 4","Mazzaella oregona","trace"
"Fifth Beach HIGH 2016 4","Petrocelis","3"
"Fifth Beach HIGH 2016 4","Plocamium violaceum","5"
"Fifth Beach HIGH 2016 4","Pterosiphonia bipinnata","8"
"Fifth Beach HIGH 2016 4","Pyropia fallax","1 on Fucus"
"Fifth Beach HIGH 2016 4","Scytosiphon dotyi","1"
"Fifth Beach HIGH 2016 4","Ulva lactuca","trace"
"Fifth Beach HIGH 2016 4","Barnacle sp. (%)","32"
"Fifth Beach HIGH 2016 4","Mussel %","35"
"Fifth Beach HIGH 2016 5","BARE ROCK (%)","6"
"Fifth Beach HIGH 2016 5","Cladophora columbiana","0.5"
"Fifth Beach HIGH 2016 5","Endocladia muricata","6"
"Fifth Beach HIGH 2016 5","Fucus distichus","15"
"Fifth Beach HIGH 2016 5","Hildenbrandia (thin)","4"
"Fifth Beach HIGH 2016 5","Petrocelis","16"
"Fifth Beach HIGH 2016 5","Plocamium violaceum","0.5"
"Fifth Beach HIGH 2016 5","Pterosiphonia bipinnata","3"
"Fifth Beach HIGH 2016 5","Spongites tumidum","1"
"Fifth Beach HIGH 2016 5","Barnacle sp. (%)","24"
"Fifth Beach HIGH 2016 5","Anemone (%)","4"
"Fifth Beach HIGH 2016 5","Mussel %","22"
"Fifth Beach HIGH 2016 6","BARE ROCK (%)","3"
"Fifth Beach HIGH 2016 6","Acrosiphonia arcta","0.5"
"Fifth Beach HIGH 2016 6","Ceramium pacificum","0.5"
"Fifth Beach HIGH 2016 6","Endocladia muricata","3"
"Fifth Beach HIGH 2016 6","Fucus distichus","6"
"Fifth Beach HIGH 2016 6","Halosaccion glandiforme","1"
"Fifth Beach HIGH 2016 6","Hildenbrandia (thick)","3"
"Fifth Beach HIGH 2016 6","Hildenbrandia (thin)","0.5"
"Fifth Beach HIGH 2016 6","Mazzaella oregona","0.5"
"Fifth Beach HIGH 2016 6","Microcladia borealis","0.5"
"Fifth Beach HIGH 2016 6","Petrocelis","12"
"Fifth Beach HIGH 2016 6","Pyropia abbottiae","0.5"
"Fifth Beach HIGH 2016 6","Pyropia perforata","0.5"
"Fifth Beach HIGH 2016 6","Mytillus sp. (%)","19"
"Fifth Beach HIGH 2016 6","Barnacle sp. (%)","54"
"Fifth Beach HIGH 2016 7","BARE ROCK (%)","2"
"Fifth Beach HIGH 2016 7","Blidingia sp.","0.5"
"Fifth Beach HIGH 2016 7","Endocladia muricata","23"
"Fifth Beach HIGH 2016 7","Fucus distichus","19"
"Fifth Beach HIGH 2016 7","Halosaccion glandiforme","0.5"
"Fifth Beach HIGH 2016 7","Hildenbrandia (thick)","23"
"Fifth Beach HIGH 2016 7","Mastocarpus alaskensis","3.5"
"Fifth Beach HIGH 2016 7","Mastocarpus agardhii","0.5"
"Fifth Beach HIGH 2016 7","Petrocelis","15"
"Fifth Beach HIGH 2016 7","Barnacle sp. (%)","5"
"Fifth Beach HIGH 2016 7","Anemone (%)","1"
"Fifth Beach HIGH 2016 8","BARE ROCK (%)","6"
"Fifth Beach HIGH 2016 8","CORALLINE (%)","9"
"Fifth Beach HIGH 2016 8","Acrosiphonia arcta","0.5"
"Fifth Beach HIGH 2016 8","Blidingia sp.","0.5"
"Fifth Beach HIGH 2016 8","Endocladia muricata","11"
"Fifth Beach HIGH 2016 8","Fucus distichus","5"
"Fifth Beach HIGH 2016 8","Hildenbrandia (thick)","72"
"Fifth Beach HIGH 2016 8","Mazzaella oregona","2"
"Fifth Beach HIGH 2016 8","Petrocelis","1"
"Fifth Beach HIGH 2016 8","Spongites tumidum","9"
"Fifth Beach HIGH 2016 8","Tiffaniella snyderae","trace"
"Fifth Beach HIGH 2016 8","Barnacle sp. (%)","6"
"Fifth Beach HIGH 2016 9","BARE ROCK (%)","3"
"Fifth Beach HIGH 2016 9","CORALLINE (%)","0.5"
"Fifth Beach HIGH 2016 9","Cladophora columbiana","0.5"
"Fifth Beach HIGH 2016 9","Corallina vancouveriensis","0.5"
"Fifth Beach HIGH 2016 9","Endocladia muricata","10"
"Fifth Beach HIGH 2016 9","Fucus distichus","2"
"Fifth Beach HIGH 2016 9","Hildenbrandia (thick)","1"
"Fifth Beach HIGH 2016 9","Mazzaella oregona","1"
"Fifth Beach HIGH 2016 9","Microcladia borealis","0.5"
"Fifth Beach HIGH 2016 9","Petrocelis","1"
"Fifth Beach HIGH 2016 9","Pterosiphonia bipinnata","5"
"Fifth Beach HIGH 2016 9","Pyropia fucicola","3"
"Fifth Beach HIGH 2016 9","Pyropia perforata","1"
"Fifth Beach HIGH 2016 9","Ulva lactuca","1"
"Fifth Beach HIGH 2016 9","Mytillus sp. (%)","31"
"Fifth Beach HIGH 2016 9","Barnacle sp. (%)","55"
"Fifth Beach HIGH 2016 9","Anemone (%)","5"
"Fifth Beach HIGH 2016 9","Limpets (#)","27"
"Fifth Beach HIGH 2016 9","Nucella","11"
"Fifth Beach HIGH 2016 10","BARE ROCK (%)","8"
"Fifth Beach HIGH 2016 10","CORALLINE (%)","1"
"Fifth Beach HIGH 2016 10","Bossiella frondescens","1"
"Fifth Beach HIGH 2016 10","Callithamnion pikeanum","0.5"
"Fifth Beach HIGH 2016 10","Cladophora columbiana","2"
"Fifth Beach HIGH 2016 10","Endocladia muricata","10"
"Fifth Beach HIGH 2016 10","Fucus distichus","2"
"Fifth Beach HIGH 2016 10","Hildenbrandia (thick)","1"
"Fifth Beach HIGH 2016 10","Mazzaella oregona","0.5"
"Fifth Beach HIGH 2016 10","Petrocelis","12"
"Fifth Beach HIGH 2016 10","Pterosiphonia bipinnata","2"
"Fifth Beach HIGH 2016 10","Pyropia fucicola","1"
"Fifth Beach HIGH 2016 10","Spongites tumidum","0.5"
"Fifth Beach HIGH 2016 10","Mytillus sp. (%)","14"
"Fifth Beach HIGH 2016 10","Barnacle sp. (%)","43"
"Fifth Beach HIGH 2016 10","Anemone (%)","3"
"Fifth Beach HIGH 2016 10","Limpets (#)","21"
"Fifth Beach HIGH 2016 10","Nucella","7"
"Meay Channel LOW 2016 1","BARE ROCK (%)","4"
"Meay Channel LOW 2016 1","Acrosiphonia arcta","0.5"
"Meay Channel LOW 2016 1","Cladophora sericea","2"
"Meay Channel LOW 2016 1","Fucus distichus","0.5"
"Meay Channel LOW 2016 1","Halosaccion glandiforme","0.5"
"Meay Channel LOW 2016 1","Hildenbrandia (thin)","6"
"Meay Channel LOW 2016 1","Leathesia marina","11"
"Meay Channel LOW 2016 1","Mastocarpus latissimus","0.5"
"Meay Channel LOW 2016 1","Mastocarpus agardhii","0.5"
"Meay Channel LOW 2016 1","Neodilsia borealis","1"
"Meay Channel LOW 2016 1","Neorhodomela aculeata","38"
"Meay Channel LOW 2016 1","Sargassum muticum","1"
"Meay Channel LOW 2016 1","Sphacelaria rigidula","6"
"Meay Channel LOW 2016 1","Ulva lactuca","8"
"Meay Channel LOW 2016 1","Ulva prolifera","1"
"Meay Channel LOW 2016 1","Barnacle sp. (%)","0,5"
"Meay Channel LOW 2016 1","Clam shell, dead (%)","4"
"Meay Channel LOW 2016 2","BARE ROCK (%)","8"
"Meay Channel LOW 2016 2","Blidingia minima","0.5"
"Meay Channel LOW 2016 2","Colpomenia peregrina","0.5"
"Meay Channel LOW 2016 2","Halosaccion glandiforme","0.5"
"Meay Channel LOW 2016 2","Hildenbrandia (thick)","6"
"Meay Channel LOW 2016 2","Leathesia marina","1"
"Meay Channel LOW 2016 2","Lomentaria hakodatensis","1"
"Meay Channel LOW 2016 2","Mastocarpus latissimus","4"
"Meay Channel LOW 2016 2","Neorhodomela aculeata","6"
"Meay Channel LOW 2016 2","Ralfsia sp [brown crust]","0.5"
"Meay Channel LOW 2016 2","Sargassum muticum","2"
"Meay Channel LOW 2016 2","Ulva lactuca","17"
"Meay Channel LOW 2016 2","Ulva prolifera","0.5"
"Meay Channel LOW 2016 2","Unidentified turf (scuz, etc.)","14"
"Meay Channel LOW 2016 2","Barnacle sp. (%)","0.5"
"Meay Channel LOW 2016 2","Clam shell, dead (%)","4"
"Meay Channel LOW 2016 3","BARE ROCK (%)","7"
"Meay Channel LOW 2016 3","CORALLINE (%)","1"
"Meay Channel LOW 2016 3","Blidingia minima","2"
"Meay Channel LOW 2016 3","Coralline crust, unknown","1"
"Meay Channel LOW 2016 3","Hildenbrandia (thick)","11"
"Meay Channel LOW 2016 3","Mastocarpus agardhii","2"
"Meay Channel LOW 2016 3","Neorhodomela aculeata","14"
"Meay Channel LOW 2016 3","Sargassum muticum","4"
"Meay Channel LOW 2016 3","Ulva lactuca","16"
"Meay Channel LOW 2016 3","Ulva linza","0.5"
"Meay Channel LOW 2016 3","Unidentified turf (scuz, etc.)","7"
"Meay Channel LOW 2016 3","Barnacle sp. (%)","0.5"
"Meay Channel LOW 2016 3","Clam shell, dead (%)","3"
"Meay Channel LOW 2016 4","BARE ROCK (%)","3"
"Meay Channel LOW 2016 4","Blidingia minima","2"
"Meay Channel LOW 2016 4","Bossiella frondifera","0.5"
"Meay Channel LOW 2016 4","Cladophora sericea","2"
"Meay Channel LOW 2016 4","Hildenbrandia (thin)","8"
"Meay Channel LOW 2016 4","Macrocystis pyrifera","30"
"Meay Channel LOW 2016 4","Mastocarpus latissimus","1.5"
"Meay Channel LOW 2016 4","Mastocarpus agardhii","1.5"
"Meay Channel LOW 2016 4","Neorhodomela aculeata","21"
"Meay Channel LOW 2016 4","Punctaria","0.5"
"Meay Channel LOW 2016 4","Saccharina groenlandica","1"
"Meay Channel LOW 2016 4","Sargassum muticum","14"
"Meay Channel LOW 2016 4","Sphacelaria rigidula","7"
"Meay Channel LOW 2016 4","Ulva lactuca","11"
"Meay Channel LOW 2016 4","Ulva linza","trace"
"Meay Channel LOW 2016 5","BARE ROCK (%)","8"
"Meay Channel LOW 2016 5","CORALLINE (%)","1"
"Meay Channel LOW 2016 5","Blidingia minima","1"
"Meay Channel LOW 2016 5","Colpomenia peregrina","0.5"
"Meay Channel LOW 2016 5","Coralline crust, unknown","1"
"Meay Channel LOW 2016 5","Hildenbrandia (thick)","10"
"Meay Channel LOW 2016 5","Leathesia marina","1"
"Meay Channel LOW 2016 5","Lomentaria hakodatensis","3"
"Meay Channel LOW 2016 5","Mastocarpus latissimus","2"
"Meay Channel LOW 2016 5","Neodilsia borealis","2"
"Meay Channel LOW 2016 5","Neorhodomela aculeata","12"
"Meay Channel LOW 2016 5","Ralfsia sp [brown crust]","1"
"Meay Channel LOW 2016 5","Ralfsia fungiformis","1"
"Meay Channel LOW 2016 5","Sargassum muticum","95"
"Meay Channel LOW 2016 5","Ulva lactuca","8"
"Meay Channel LOW 2016 5","Unidentified turf (scuz, etc.)","8"
"Meay Channel LOW 2016 5","Clam shell, dead (%)","6"
"Meay Channel LOW 2016 6","BARE ROCK (%)","1"
"Meay Channel LOW 2016 6","Bossiella frondescens","0.5"
